year,bid_request_id,won,win_price,clicked,converted,response_time_ms,bid_volume_yoy,win_rate,ctr,conversion_rate
2010,291,63,2.758888888888889,7,0,119.38144329896907,,21.649484536082475,11.11111111111111,0.0
2011,410,74,2.4910810810810813,6,0,119.01463414634146,40.89347079037802,18.048780487804876,8.108108108108109,0.0
2012,423,91,2.603186813186813,7,1,120.08037825059101,3.170731707317076,21.513002364066196,7.6923076923076925,14.285714285714285
2013,362,65,2.531846153846154,9,0,120.79005524861878,-14.420803782505908,17.955801104972377,13.846153846153847,0.0
2014,393,79,2.370379746835443,5,0,121.0,8.563535911602216,20.10178117048346,6.329113924050633,0.0
2015,398,92,2.560217391304348,14,1,119.34422110552764,1.2722646310432628,23.115577889447238,15.217391304347828,7.142857142857142
2016,428,80,2.615625,7,0,121.03271028037383,7.537688442211055,18.69158878504673,8.75,0.0
2017,398,77,2.6519480519480516,10,0,117.6105527638191,-7.009345794392519,19.34673366834171,12.987012987012985,0.0
2018,383,86,2.636395348837209,3,1,120.33681462140993,-3.7688442211055273,22.45430809399478,3.488372093023256,33.33333333333333
2019,440,78,2.4594871794871795,8,3,118.92272727272727,14.88250652741514,17.727272727272727,10.256410256410255,37.5
2020,406,104,2.4570192307692307,11,0,118.95320197044335,-7.727272727272727,25.615763546798032,10.576923076923077,0.0
2021,404,79,2.480886075949367,9,0,119.79702970297029,-0.49261083743842304,19.554455445544555,11.39240506329114,0.0
2022,423,77,2.738311688311688,8,0,120.12056737588652,4.702970297029707,18.203309692671397,10.38961038961039,0.0
2023,364,81,2.4617283950617286,4,0,119.48626373626374,-13.947990543735223,22.252747252747252,4.938271604938271,0.0
2024,380,78,2.4096153846153845,6,0,120.84210526315789,4.395604395604402,20.526315789473685,7.6923076923076925,0.0
2025,97,16,2.68,0,0,122.82474226804123,-74.47368421052632,16.49484536082474,0.0,
