year,month,bid_request_id,won,win_price,response_time_ms,bid_volume_mom,win_rate
2010,4,17,1,1.37,121.94117647058823,,5.88235294117647
2010,5,29,6,3.0383333333333336,116.06896551724138,70.58823529411764,20.689655172413794
2010,6,41,7,2.3614285714285717,119.41463414634147,41.37931034482758,17.073170731707318
2010,7,24,8,2.7600000000000002,127.625,-41.463414634146346,33.33333333333333
2010,8,39,11,2.9572727272727275,109.38461538461539,62.5,28.205128205128204
2010,9,38,7,2.777142857142857,114.42105263157895,-2.564102564102566,18.421052631578945
2010,10,31,7,2.677142857142857,119.0,-18.42105263157895,22.58064516129032
2010,11,33,7,3.4657142857142857,122.27272727272727,6.451612903225801,21.21212121212121
2010,12,36,9,2.292222222222222,127.55555555555556,9.090909090909083,25.0
2011,1,35,5,3.2640000000000002,123.0,,14.285714285714285
2011,2,31,6,2.856666666666667,119.83870967741936,-11.428571428571432,19.35483870967742
2011,3,37,10,2.3280000000000003,117.37837837837837,19.354838709677423,27.027027027027028
2011,4,39,9,2.4444444444444446,115.6923076923077,5.405405405405395,23.076923076923077
2011,5,35,6,2.856666666666667,112.77142857142857,-10.256410256410254,17.142857142857142
2011,6,22,3,2.0233333333333334,118.31818181818181,-37.142857142857146,13.636363636363635
2011,7,42,6,2.296666666666667,125.54761904761905,90.90909090909092,14.285714285714285
2011,8,35,2,0.8300000000000001,119.17142857142858,-16.666666666666664,5.714285714285714
2011,9,33,5,2.9240000000000004,119.27272727272727,-5.714285714285716,15.151515151515152
2011,10,32,5,2.42,119.90625,-3.0303030303030276,15.625
2011,11,40,11,2.1827272727272726,119.1,25.0,27.500000000000004
2011,12,30,6,2.703333333333333,118.5,-25.0,20.0
2012,1,46,12,2.875,122.1086956521739,,26.08695652173913
2012,2,27,6,3.2733333333333334,123.70370370370371,-41.30434782608695,22.22222222222222
2012,3,27,9,2.856666666666667,123.03703703703704,0.0,33.33333333333333
2012,4,35,9,2.281111111111111,118.08571428571429,29.629629629629626,25.71428571428571
2012,5,34,9,2.5822222222222226,116.23529411764706,-2.857142857142858,26.47058823529412
2012,6,34,7,2.9457142857142857,120.76470588235294,0.0,20.588235294117645
2012,7,39,5,2.5680000000000005,119.74358974358974,14.705882352941169,12.82051282051282
2012,8,35,8,2.54625,119.14285714285714,-10.256410256410254,22.857142857142858
2012,9,29,4,1.915,113.62068965517241,-17.14285714285714,13.793103448275861
2012,10,36,8,2.55875,115.69444444444444,24.13793103448276,22.22222222222222
2012,11,37,4,2.71,120.29729729729729,2.777777777777768,10.81081081081081
2012,12,45,10,2.0469999999999997,125.44444444444444,21.62162162162162,22.22222222222222
2013,1,35,5,2.88,116.37142857142857,,14.285714285714285
2013,2,21,5,2.694,121.0952380952381,-40.0,23.809523809523807
2013,3,36,4,1.1725,117.94444444444444,71.42857142857142,11.11111111111111
2013,4,30,6,2.341666666666667,112.3,-16.666666666666664,20.0
2013,5,30,4,2.88,120.2,0.0,13.333333333333334
2013,6,31,8,2.22375,129.0,3.3333333333333437,25.806451612903224
2013,7,27,6,3.1266666666666665,129.33333333333334,-12.903225806451612,22.22222222222222
2013,8,24,4,2.435,112.75,-11.111111111111116,16.666666666666664
2013,9,33,4,2.0575,115.45454545454545,37.5,12.121212121212121
2013,10,38,11,2.609090909090909,122.8157894736842,15.15151515151516,28.947368421052634
2013,11,24,5,2.634,124.375,-36.8421052631579,20.833333333333336
2013,12,33,3,3.35,128.93939393939394,37.5,9.090909090909092
2014,1,27,6,1.4766666666666666,126.51851851851852,,22.22222222222222
2014,2,26,2,1.55,123.42307692307692,-3.703703703703709,7.6923076923076925
2014,3,32,5,1.67,118.5,23.076923076923084,15.625
2014,4,35,4,2.1025,115.91428571428571,9.375,11.428571428571429
2014,5,39,7,2.0571428571428574,126.0,11.428571428571432,17.94871794871795
2014,6,31,3,1.7733333333333334,123.70967741935483,-20.512820512820518,9.67741935483871
2014,7,47,15,2.5420000000000003,118.29787234042553,51.61290322580645,31.914893617021278
2014,8,38,10,2.348,117.23684210526316,-19.14893617021277,26.31578947368421
2014,9,29,5,2.71,121.89655172413794,-23.684210526315784,17.24137931034483
2014,10,27,7,3.434285714285714,126.03703703703704,-6.896551724137934,25.925925925925924
